class,binSpecies,sex,n,n_dead,infant_cutoff_d,ndims,L,rms,arm,wall_s,rho_eta,rho_beta,rho_eps,kappa,omega,s,beta_xc_eps,external_hazard
Reptilia,Acrantophis madagascariensis,f,128,44,375.31851851851854,4,7523.209084085692,0.0252913917443548,removal,43.16429328895174,1.1815812590084085,2.612249754768877,0.8660508722977941,0.001012898430608,-2.334111297528476,1.2551290849920362,3.016277493997659,
Reptilia,Physignathus cocincinus,m,110,66,206.45,4,3107.4764092006794,0.0226081582840718,production,56.39097894122824,0.6730349596684471,0.0001000000000416,0.341431843714885,4.999999999810323,0.985313719346897,2.4027843163178466,0.0002928842223784,
Aves,Gracula religiosa,f,116,51,204.96140350877195,4,3397.708423016172,0.0277821262929885,removal,63.6573045279365,2.055159848168989,5.938311328016282,1.569366331450059,0.0010017465986811,-3.129117342153239,0.913478798621709,3.78389112153911,
Mammalia,Saguinus geoffroyi,m,137,99,221.66880000000003,4,3216.2450627804283,0.029484706121516,removal,67.02289355918765,5.200852645647093,19.9691559270047,3.609962633013031,0.0012200278016527,-4.811332240767396,0.6317344607961515,5.531679398669448,
Aves,Anser canagicus,f,188,83,261.0705882352941,4,4768.503601867216,0.0164346367393221,removal,69.89092735992745,5.881164907401234,10.58551937746956,1.912636700957404,0.0010078467104059,-3.997066939028272,1.26794143254948,5.5345164987008735,
Aves,Calidris pugnax,f,210,104,204.5677419354839,4,3169.738186800011,0.0202935067903376,removal,106.2755552767776,7.358164473320649,24.36228705019639,4.069524839225566,0.001006386432255,-5.082461867334884,0.6665627529666613,5.986518822878731,
Mammalia,Dama dama,m,3942,1489,111.0946021146355,4,3204.3422884283564,0.0209818043362001,removal,312.3493838508148,0.000126757134024,115.1377342681281,16.08002027442445,0.0340103417896522,-7.160293887980325,0.0007001637364709,7.160297829428528,
Aves,Zenaida graysoni,m,237,123,201.7062937062937,4,3356.4004286523946,0.0298714507610895,removal,74.33345960220322,6.903628513714246,23.597698455648448,4.044217291517132,0.0010293829674401,-4.981404990539931,0.6496870724102147,5.834923485724997,
Aves,Trichoglossus forsteni,f,237,78,112.7741935483871,4,2957.31957377463,0.0166413378807672,removal,234.9339622789994,0.5150956989845406,7.896118171466447,2.094856260758549,0.0010416072693981,-3.646345797113661,0.3426018728393418,3.769288766670442,
Aves,Aythya fuligula,m,399,188,205.20478260869564,4,5792.09837566188,0.0235840306432898,removal,252.39930383395404,0.0001089398175296,37.35889030573064,5.288719152722025,0.1696606303589558,-7.063872131798459,0.0019735258371562,7.063882431061324,
Mammalia,Phoca vitulina,f,406,185,349.87871485943776,4,7626.1179708563395,0.0315091570748234,removal,110.81417470495217,5.597523473769033,24.471211907520047,4.264066729946292,0.0010663226431358,-5.082577629104906,0.5548479288773216,5.738937370670153,
Mammalia,Philantomba monticola,m,337,199,182.061328125,4,3074.2879454912654,0.0205570878284107,removal,108.7082779891789,3.3886618057345683,25.620744964134783,4.754689071347161,0.0010022667943805,-5.032172178293112,0.3871613467842067,5.388521642462643,
