binSpecies,genus,family,order,confidence,common_name
Morelia spilota,Morelia,Pythonidae,,99,Carpet Python
Agapornis nigrigenis,Agapornis,Psittacidae,Psittaciformes,99,BCLO
Coracias garrulus,Coracias,Coraciidae,Coraciiformes,99,EURO
Okapia johnstoni,Okapia,Giraffidae,Artiodactyla,99,African unicorn
Myiopsitta monachus,Myiopsitta,Psittacidae,Psittaciformes,99,Monk Parakeet
Hydropotes inermis,Hydropotes,Cervidae,Artiodactyla,99,Chinese Water Deer
Petaurus norfolcensis,Petaurus,Petauridae,Diprotodontia,99,Squirrel Glider
Pecari tajacu,Pecari,Tayassuidae,Artiodactyla,99,Collared Peccary
Lamprotornis superbus,Lamprotornis,Sturnidae,Passeriformes,99,SUST
Sus cebifrons,Sus,Suidae,Artiodactyla,98,Visayan Warty Pig
Papio hamadryas,Papio,Cercopithecidae,Primates,99,Hamadryas Baboon
Crossoptilon auritum,Crossoptilon,Phasianidae,Galliformes,99,Blue Eared Pheasant
Equus kiang,Equus,Equidae,Perissodactyla,99,Kiang
Alces alces,Alces,Cervidae,Artiodactyla,99,Alce
Macaca silenus,Macaca,Cercopithecidae,Primates,99,Lion-tailed Macaque
Phoeniculus purpureus,Phoeniculus,Phoeniculidae,Bucerotiformes,99,GRWO
Polytelis alexandrae,Polytelis,Psittacidae,Psittaciformes,99,Alexandra's Parrot
Aythya collaris,Aythya,Anatidae,Anseriformes,99,
Equus grevyi,Equus,Equidae,Perissodactyla,99,Grevy's Zebra
Gazella cuvieri,Gazella,Bovidae,Artiodactyla,99,Cuvier's Gazelle
Hippotragus equinus,Hippotragus,Bovidae,Artiodactyla,97,Bastergemsbok
Phalacrocorax carbo,Phalacrocorax,Phalacrocoracidae,Suliformes,99,Black Shag
Theropithecus gelada,Theropithecus,Cercopithecidae,Primates,99,Bleeding-heart Monkey
Odocoileus hemionus,Odocoileus,Cervidae,Artiodactyla,99,Black-tailed Deer
Bos frontalis,Bos,Bovidae,Artiodactyla,99,Gaur
Bison bison,Bison,Bovidae,Artiodactyla,99,American Bison
Macaca fascicularis,Macaca,Cercopithecidae,Primates,99,Con Song Long-tailed Macaque (condorensis)
Tragulus javanicus,Tragulus,Tragulidae,Artiodactyla,97,Java Mouse-deer
Cynomys ludovicianus,Cynomys,Sciuridae,Rodentia,99,Arizona Black-tailed Prairie Dog
Amazona leucocephala,Amazona,Psittacidae,Psittaciformes,99,Bahaman Parrot
Callipepla gambelii,Callipepla,Odontophoridae,Galliformes,99,Gambel's Partridge
Tursiops truncatus,Tursiops,Delphinidae,Cetacea,97,Black Porpoise
Mareca strepera,Mareca,Anatidae,Anseriformes,99,Gadwall
Guttera pucherani,Guttera,Numididae,Galliformes,99,Crested Guineafowl
Aepyceros melampus,Aepyceros,Bovidae,Artiodactyla,99,Black-faced Impala
Plegadis falcinellus,Plegadis,Threskiornithidae,Pelecaniformes,99,
Anser anser,Anser,Anatidae,Anseriformes,99,Domesticated Geese
Lophura leucomelanos,Lophura,Phasianidae,Galliformes,99,Kalij Pheasant
Hippotragus niger,Hippotragus,Bovidae,Artiodactyla,99,Giant Sable
Taeniopygia guttata,Taeniopygia,Estrildidae,Passeriformes,99,Spotted-sided Finch
Oryx leucoryx,Oryx,Bovidae,Artiodactyla,99,Arabian Oryx
Malayopython reticulatus,Malayopython,Pythonidae,,99,Asian Reticulated Python
Vanellus armatus,Vanellus,Charadriidae,Charadriiformes,99,BLLA
Rhinoptera bonasus,Rhinoptera,Myliobatidae,Myliobatiformes,99,American Cownose Ray
Ciconia ciconia,Ciconia,Ciconiidae,Ciconiiformes,99,
Nanger soemmerringii,Nanger,Bovidae,Artiodactyla,99,Gazelle de Soemmerring
Dacelo leachii,Dacelo,Alcedinidae,Coraciiformes,99,Blue-winged Kookaburra
Platycercus eximius,Platycercus,Psittacidae,Psittaciformes,99,Eastern Rosella
Mungos mungo,Mungos,Herpestidae,Carnivora,99,Banded Ichneumon
Anas luzonica,Anas,Anatidae,Anseriformes,99,Philippine Duck
Ramphastos toco,Ramphastos,Ramphastidae,Piciformes,99,Common Toucan
Pantherophis guttatus,Pantherophis,Colubridae,,99,Cobra do milho
Hystrix africaeaustralis,Hystrix,Hystricidae,Rodentia,99,African Crested Porcupine
Vicugna vicugna,Vicugna,Camelidae,Artiodactyla,99,Argentine Vicuna (vicugna)
Cossypha niveicapilla,Cossypha,Muscicapidae,Passeriformes,99,SCRC
Branta leucopsis,Branta,Anatidae,Anseriformes,99,Barnacle Goose
Mustela putorius,Mustela,Mustelidae,Carnivora,99,Black Polecat
Eulemur rufus,Eulemur,Lemuridae,Primates,99,Audebert's Brown Lemur
Perameles gunnii,Perameles,Peramelidae,Peramelemorphia,99,Eastern Barred Bandicoot
Corucia zebrata,Corucia,Scincidae,,99,Lagarto-das-ilhas-salomão
Phascolarctos cinereus,Phascolarctos,Phascolarctidae,Diprotodontia,99,Australian Koala
Vicugna pacos,Vicugna,Camelidae,Artiodactyla,99,Alpaca
Gallus sonneratii,Gallus,Phasianidae,Galliformes,99,Gray Junglefowl
Neotragus moschatus,Neotragus,Bovidae,Artiodactyla,99,Coastal Suni
Tockus deckeni,Tockus,Bucerotidae,Bucerotiformes,99,VDDH
Dolichotis patagonum,Dolichotis,Caviidae,Rodentia,99,Grof 3 er Pampashase
Manouria emys,Manouria,Testudinidae,,99,Asian Brown Tortoise
Pelecanus rufescens,Pelecanus,Pelecanidae,Pelecaniformes,99,PBPE
Crocuta crocuta,Crocuta,Hyaenidae,Carnivora,99,
Aythya valisineria,Aythya,Anatidae,Anseriformes,99,Cans
Amazonetta brasiliensis,Amazonetta,Anatidae,Anseriformes,99,Brazilian Teal
Pan troglodytes,Pan,Hominidae,Primates,98,Chimp
Oryx beisa,Oryx,Bovidae,Artiodactyla,99,Beisa
Tragopan temminckii,Tragopan,Phasianidae,Galliformes,99,Temminck's Tragopan
Python regius,Python,Pythonidae,,99,Ball Python
Deroptyus accipitrinus,Deroptyus,Psittacidae,Psittaciformes,99,Hawk-headed Parrot
Lemniscomys barbarus,Lemniscomys,Muridae,Rodentia,99,Barbary
Cervus hanglu,Cervus,Cervidae,Artiodactyla,99,Asian Red Deer
Hemitragus jemlahicus,Hemitragus,Bovidae,Artiodactyla,99,Himalayan Tahr
Afropavo congensis,Afropavo,Phasianidae,Galliformes,99,Congo Peacock
Lontra canadensis,Lontra,Mustelidae,Carnivora,99,American River Otter
Symphalangus syndactylus,Symphalangus,Hylobatidae,Primates,99,Siamang
Tragelaphus strepsiceros,Tragelaphus,Bovidae,Artiodactyla,99,Greater Kudu
Spatula puna,Spatula,Anatidae,Anseriformes,99,Puna Teal
Mycteria ibis,Mycteria,Ciconiidae,Ciconiiformes,99,
Dendrocygna bicolor,Dendrocygna,Anatidae,Anseriformes,99,FWDU
Hypotaenidia owstoni,Gallirallus,Rallidae,Gruiformes,98,Guam Rail
Entomyzon cyanotis,Entomyzon,Meliphagidae,Passeriformes,99,Blue-faced Honeyeater
Erythrocebus patas,Erythrocebus,Cercopithecidae,Primates,99,Blue Nile Hussar / Dancing Red / Eastern Patas Monkey (pyrrhonotus)
Crax rubra,Crax,Cracidae,Galliformes,99,Great Curassow
Iguana iguana,Iguana,Iguanidae,,99,American Iguana
Callithrix jacchus,Callithrix,Callitrichidae,Primates,99,Common Marmoset
Wallabia bicolor,Wallabia,Macropodidae,Diprotodontia,99,Black Wallaby
Pogonornis dubius,Lybius,Lybiidae,Piciformes,98,BEBA
Kobus leche,Kobus,Bovidae,Artiodactyla,99,Lechwe
Muntiacus reevesi,Muntiacus,Cervidae,Artiodactyla,99,Chinese Barking Deer
Aythya marila,Aythya,Anatidae,Anseriformes,99,Big Black-head
Cricetus cricetus,,,,0,
Notamacropus parma,,,,0,
Speothos venaticus,,,,0,
Tragelaphus scriptus,,,,0,
Psittacula derbiana,,,,0,
Nycticorax nycticorax,,,,0,
Geococcyx californianus,,,,0,
Ovis vignei,,,,0,
Pteropus giganteus,,,,0,
Furcifer pardalis,,,,0,
Cebuella pygmaea,,,,0,
Guira guira,Guira,Cuculidae,Cuculiformes,99,Guira Cuckoo
